pot,run,millet,germination,date,total_plant,envelope_g,envelope_plant_g,millet_ml,species
1,1,None,0,-,4,0,0,0,control
2,1,None,2,5/29 (1) 5/31 (1),4,2.62,2.79,0,control
3,1,None,3,43614,4,2.59,2.79,0,control
4,1,None,3,43614,4,2.59,2.95,0,control
5,1,10 ml sterile (control),2,43614,4,2.59,2.74,10,millet control
6,1,10 ml sterile (control),2,43614,4,2.59,2.78,10,millet control
7,1,10 ml sterile (control),4,5/29 (3) 5/30 (1),4,2.57,3.51,10,millet control
8,1,10 ml sterile (control),3,5/29 (2) 5/31 (1),4,2.56,2.82,10,millet control
9,1,20 ml sterile (control),4,5/29 (3) 5/30 (1),4,2.57,3.26,20,millet control
10,1,20 ml sterile (control),2,43614,4,2.59,2.79,20,millet control
11,1,20 ml sterile (control),4,5/29 (3) 5/31 (1),4,2.57,3.22,20,millet control
12,1,20 ml sterile (control),3,5/29 (2) 5/30 (1),4,2.55,3.03,20,millet control
13,1,10 ml Pu,3,5/29 (2) 5/30 (1),4,2.6,3.05,10,Pythium ultimum var. ultimum
14,1,10 ml Pu,1,43614,4,2.54,2.8,10,Pythium ultimum var. ultimum
15,1,10 ml Pu,1,43614,4,2.55,2.55,10,Pythium ultimum var. ultimum
16,1,10 ml Pu,2,43614,4,2.59,2.9,10,Pythium ultimum var. ultimum
17,1,20 ml Pu,3,5/29 (2) 5/30 (1),4,2.57,3.02,20,Pythium ultimum var. ultimum
18,1,20 ml Pu,1,43614,4,2.54,3.04,20,Pythium ultimum var. ultimum
19,1,20 ml Pu,1,43616,4,2.58,2.48,20,Pythium ultimum var. ultimum
20,1,20 ml Pu,1,43614,4,2.59,2.61,20,Pythium ultimum var. ultimum
21,1,10 ml Ps,1,43614,4,2.6,2.73,10,Pythium sylvaticum
22,1,10 ml Ps,3,43614,4,2.6,3.14,10,Pythium sylvaticum
23,1,10 ml Ps,3,43614,4,2.54,2.9,10,Pythium sylvaticum
24,1,10 ml Ps,3,43614,4,2.54,3.06,10,Pythium sylvaticum
25,1,20 ml Ps,1,43616,4,2.55,2.6,20,Pythium sylvaticum
26,1,20 ml Ps,1,43614,4,2.62,2.65,20,Pythium sylvaticum
27,1,20 ml Ps,3,43614,4,2.58,2.9,20,Pythium sylvaticum
28,1,20 ml Ps,2,43614,4,2.57,2.88,20,Pythium sylvaticum
29,1,10 ml Pi,0,-,4,0,0,10,Pythium irregulare
30,1,10 ml Pi,0,-,4,0,0,10,Pythium irregulare
31,1,10 ml Pi,1,43614,4,2.56,2.56,10,Pythium irregulare
32,1,10 ml Pi,1,43614,4,2.56,2.62,10,Pythium irregulare
33,1,20 ml Pi,0,-,4,0,0,20,Pythium irregulare
34,1,20 ml Pi,1,43614,4,2.58,2.52,20,Pythium irregulare
35,1,20 ml Pi,0,-,4,0,0,20,Pythium irregulare
36,1,20 ml Pi,0,-,4,0,0,20,Pythium irregulare
1,2,None,4,6/6 (1) 6/10 (2) 6/11 (1),4,2.6,3.05,0,control
2,2,None,0,-,4,0,0,0,control
3,2,None,1,6/10 (1),4,2.59,2.61,0,control
4,2,None,0,-,4,0,0,0,control
5,2,10 ml sterile (control),4,6/6 (2) 6/10 (1) 6/11 (1),4,2.58,2.91,10,millet control
6,2,10 ml sterile (control),3,6/5 (1) 6/10 (2),4,2.58,3.07,10,millet control
7,2,10 ml sterile (control),3,6/10 (2) 6/13 (1),4,2.6,2.92,10,millet control
8,2,10 ml sterile (control),3,6/10 (2) 6/13 (1),4,2.59,2.93,10,millet control
9,2,20 ml sterile (control),3,6/10 (3),4,2.59,3.08,20,millet control
10,2,20 ml sterile (control),4,6/5 (1) 6/10 (3),4,2.55,3.25,20,millet control
11,2,20 ml sterile (control),3,6/10 (3),4,2.56,2.95,20,millet control
12,2,20 ml sterile (control),3,6/10 (2) 6/13 (1),4,2.57,2.91,20,millet control
13,2,10 ml Pu,0,-,4,0,0,10,Pythium ultimum var. ultimum
14,2,10 ml Pu,0,-,4,0,0,10,Pythium ultimum var. ultimum
15,2,10 ml Pu,0,-,4,0,0,10,Pythium ultimum var. ultimum
16,2,10 ml Pu,0,-,4,0,0,10,Pythium ultimum var. ultimum
17,2,20 ml Pu,1,6/13 (1),4,2.56,2.74,20,Pythium ultimum var. ultimum
18,2,20 ml Pu,2,6/13 (2),4,2.55,2.67,20,Pythium ultimum var. ultimum
19,2,20 ml Pu,1,6/10 (1),4,2.59,2.59,20,Pythium ultimum var. ultimum
20,2,20 ml Pu,1,6/13 (1),4,2.61,2.6,20,Pythium ultimum var. ultimum
21,2,10 ml Ps,2,6/10 (1) 6/11 (1),4,2.59,2.74,10,Pythium sylvaticum
22,2,10 ml Ps,0,-,4,0,0,10,Pythium sylvaticum
23,2,10 ml Ps,4,6/5 (1) 6/10 (1) 6/11 (2),4,2.59,3.25,10,Pythium sylvaticum
24,2,10 ml Ps,1,6/10 (1),4,2.58,2.59,10,Pythium sylvaticum
25,2,20 ml Ps,2,6/10 (1) 6/11 (1),4,2.55,2.66,20,Pythium sylvaticum
26,2,20 ml Ps,2,6/10 (2),4,2.6,2.75,20,Pythium sylvaticum
27,2,20 ml Ps,1,6/10 (1),4,2.59,2.63,20,Pythium sylvaticum
28,2,20 ml Ps,2,6/10 (1) 6/13 (1),4,2.54,2.78,20,Pythium sylvaticum
29,2,10 ml Pi,0,-,4,0,0,10,Pythium irregulare
30,2,10 ml Pi,1,6/11 (1),4,2.55,2.59,10,Pythium irregulare
31,2,10 ml Pi,1,6/10 (1),4,2.6,2.67,10,Pythium irregulare
32,2,10 ml Pi,0,-,4,0,0,10,Pythium irregulare
33,2,20 ml Pi,0,-,4,0,0,20,Pythium irregulare
34,2,20 ml Pi,0,-,4,0,0,20,Pythium irregulare
35,2,20 ml Pi,0,-,4,0,0,20,Pythium irregulare
36,2,20 ml Pi,0,-,4,0,0,20,Pythium irregulare
